building_id,uid,tile_id,gt_label,gt_label_idx,p_nodmg,p_minor,p_major,p_dest,pred_argmax,confidence_max,margin_top1_top2,entropy
socal-fire_00001273:d687dbb5-07fd-44c3-a88f-9fd5909632e9,d687dbb5-07fd-44c3-a88f-9fd5909632e9,socal-fire_00001273,no-damage,0,0.998126,0.000320,0.000000,0.001554,0,0.998126,0.996572,0.014499
socal-fire_00001273:dbbb1e41-9966-4282-9495-cd0a56c4c663,dbbb1e41-9966-4282-9495-cd0a56c4c663,socal-fire_00001273,no-damage,0,0.778476,0.000756,0.000001,0.220767,0,0.778476,0.557709,0.533895
socal-fire_00001273:dceeeb6c-ed6e-49f2-bbc2-c6eb286b841b,dceeeb6c-ed6e-49f2-bbc2-c6eb286b841b,socal-fire_00001273,no-damage,0,0.752977,0.000217,0.000157,0.246648,0,0.752977,0.506330,0.562102
socal-fire_00001273:decb49d3-874c-4d11-abf1-3a7497df1092,decb49d3-874c-4d11-abf1-3a7497df1092,socal-fire_00001273,no-damage,0,0.981660,0.000758,0.000096,0.017486,0,0.981660,0.964174,0.095255
socal-fire_00001273:fbdf5f76-cfaf-41de-85a5-e3acb3df9a1b,fbdf5f76-cfaf-41de-85a5-e3acb3df9a1b,socal-fire_00001273,no-damage,0,0.989488,0.000005,0.000037,0.010469,0,0.989488,0.979019,0.058631
socal-fire_00001273:fc3d957d-6b65-4858-80a2-d1992697518c,fc3d957d-6b65-4858-80a2-d1992697518c,socal-fire_00001273,no-damage,0,0.848574,0.003825,0.001764,0.145837,0,0.848574,0.702737,0.452580
socal-fire_00001273:ff41fe00-9fab-4f89-a197-65b5e2ef371b,ff41fe00-9fab-4f89-a197-65b5e2ef371b,socal-fire_00001273,no-damage,0,0.989637,0.000003,0.000018,0.010341,0,0.989637,0.979296,0.057825
socal-fire_00001273:ff46642e-2c69-4e68-b73d-8b5746ec42cd,ff46642e-2c69-4e68-b73d-8b5746ec42cd,socal-fire_00001273,no-damage,0,0.949178,0.000009,0.000199,0.050615,0,0.949178,0.898563,0.202312
socal-fire_00001267:24fab3eb-b0c7-4d81-9c45-15ca2a9c0a1c,24fab3eb-b0c7-4d81-9c45-15ca2a9c0a1c,socal-fire_00001267,no-damage,0,0.052520,0.000000,0.000104,0.947376,3,0.947376,0.894856,0.206921
socal-fire_00001267:25a5975e-eb9e-4984-a669-b091e41d05fd,25a5975e-eb9e-4984-a669-b091e41d05fd,socal-fire_00001267,destroyed,3,0.040371,0.000017,0.001105,0.958507,3,0.958507,0.918136,0.177902
socal-fire_00001267:3dad1c94-9fe0-4c8b-a465-e6fb3d7e5a9c,3dad1c94-9fe0-4c8b-a465-e6fb3d7e5a9c,socal-fire_00001267,no-damage,0,0.069453,0.000032,0.114579,0.815936,3,0.815936,0.701357,0.599785
socal-fire_00001267:42c2770a-97ad-46ac-bb33-5b096fbd9d72,42c2770a-97ad-46ac-bb33-5b096fbd9d72,socal-fire_00001267,no-damage,0,0.392239,0.037731,0.429718,0.140313,2,0.429718,0.037479,1.129253
socal-fire_00001267:5342081d-c01d-4b1a-981b-c47e89f68781,5342081d-c01d-4b1a-981b-c47e89f68781,socal-fire_00001267,no-damage,0,0.951462,0.004020,0.003008,0.041510,0,0.951462,0.909952,0.219059
socal-fire_00001267:65d2c71c-c2c1-4d8a-bee7-b9cb58f8e939,65d2c71c-c2c1-4d8a-bee7-b9cb58f8e939,socal-fire_00001267,no-damage,0,0.658692,0.277487,0.000900,0.062921,0,0.658692,0.381205,0.811079
socal-fire_00001267:8a590ec0-a42c-4f25-b845-0b385ed30c4e,8a590ec0-a42c-4f25-b845-0b385ed30c4e,socal-fire_00001267,no-damage,0,0.001785,0.997902,0.000007,0.000306,1,0.997902,0.996117,0.015956
socal-fire_00001267:97b3d5d2-70ca-45ba-acd3-60509ca19e66,97b3d5d2-70ca-45ba-acd3-60509ca19e66,socal-fire_00001267,no-damage,0,0.139772,0.585834,0.111807,0.162587,1,0.585834,0.423247,1.128605
socal-fire_00001267:a69b5ba9-6397-463a-96a7-0b2aaee6bc65,a69b5ba9-6397-463a-96a7-0b2aaee6bc65,socal-fire_00001267,destroyed,3,0.081071,0.000003,0.125149,0.793777,3,0.793777,0.668627,0.647142
socal-fire_00001267:a6f11c25-fa38-4915-bd16-1cd9b2e0d856,a6f11c25-fa38-4915-bd16-1cd9b2e0d856,socal-fire_00001267,no-damage,0,0.568589,0.001895,0.000694,0.428822,0,0.568589,0.139767,0.701039
socal-fire_00001267:a9ff1f8b-f46f-4e35-8f52-1901270bb80c,a9ff1f8b-f46f-4e35-8f52-1901270bb80c,socal-fire_00001267,no-damage,0,0.226717,0.728931,0.000751,0.043600,1,0.728931,0.502214,0.708919
socal-fire_00001267:aef46959-efe1-4d04-aed0-600ad9d7335e,aef46959-efe1-4d04-aed0-600ad9d7335e,socal-fire_00001267,no-damage,0,0.973073,0.003965,0.000378,0.022584,0,0.973073,0.950489,0.137074
socal-fire_00001267:c773e77c-ac46-4611-a51e-136b84765a59,c773e77c-ac46-4611-a51e-136b84765a59,socal-fire_00001267,destroyed,3,0.264020,0.000261,0.257327,0.478392,3,0.478392,0.214372,1.055787
socal-fire_00001267:f4a89ec2-a70a-4d73-a53a-3fb139db05e9,f4a89ec2-a70a-4d73-a53a-3fb139db05e9,socal-fire_00001267,destroyed,3,0.032211,0.000000,0.009016,0.958773,3,0.958773,0.926562,0.193482
socal-fire_00001219:070e4909-b9ff-4ee3-8831-8e9dec73c3fe,070e4909-b9ff-4ee3-8831-8e9dec73c3fe,socal-fire_00001219,no-damage,0,0.695714,0.001236,0.000267,0.302782,0,0.695714,0.392932,0.624640
socal-fire_00001219:075bac4c-d323-49a4-b35b-ca2336756fd1,075bac4c-d323-49a4-b35b-ca2336756fd1,socal-fire_00001219,no-damage,0,0.955772,0.029053,0.002606,0.012570,0,0.955772,0.926719,0.216557
socal-fire_00001219:124d2b70-a4ef-4728-bee4-c1b0f6225f34,124d2b70-a4ef-4728-bee4-c1b0f6225f34,socal-fire_00001219,no-damage,0,0.991914,0.000694,0.000002,0.007391,0,0.991914,0.984523,0.049394
socal-fire_00001219:16dbc562-cb8c-4602-a176-5cd3be66ee74,16dbc562-cb8c-4602-a176-5cd3be66ee74,socal-fire_00001219,no-damage,0,0.976130,0.000640,0.002773,0.020456,0,0.976130,0.955674,0.124183
socal-fire_00001219:1eb87ae7-8de1-4c96-b356-f4944e556d6d,1eb87ae7-8de1-4c96-b356-f4944e556d6d,socal-fire_00001219,no-damage,0,0.609663,0.000001,0.000031,0.390305,0,0.609663,0.219357,0.669235
socal-fire_00001219:25f0eead-3163-456d-9982-7c2f9fa91664,25f0eead-3163-456d-9982-7c2f9fa91664,socal-fire_00001219,no-damage,0,0.968594,0.000076,0.000007,0.031323,0,0.968594,0.937271,0.140195
socal-fire_00001219:2dcda955-b250-47ec-a00f-f73b50df4a70,2dcda955-b250-47ec-a00f-f73b50df4a70,socal-fire_00001219,no-damage,0,0.628421,0.000181,0.002763,0.368635,0,0.628421,0.259786,0.677644
socal-fire_00001219:33e5c949-0869-4eca-831e-4a61b5df47aa,33e5c949-0869-4eca-831e-4a61b5df47aa,socal-fire_00001219,no-damage,0,0.402381,0.000834,0.002584,0.594200,3,0.594200,0.191819,0.696923
socal-fire_00001219:344561d2-1f31-434b-8c48-7a6cefa062c4,344561d2-1f31-434b-8c48-7a6cefa062c4,socal-fire_00001219,no-damage,0,0.806628,0.004345,0.000133,0.188894,0,0.806628,0.617735,0.512961
socal-fire_00001219:35d7e143-9996-41e7-9c02-6c6bfd4d1687,35d7e143-9996-41e7-9c02-6c6bfd4d1687,socal-fire_00001219,no-damage,0,0.939669,0.001448,0.000201,0.058682,0,0.939669,0.880987,0.236054
socal-fire_00001219:37509888-5a2f-4e6a-b284-621a2f8530b4,37509888-5a2f-4e6a-b284-621a2f8530b4,socal-fire_00001219,no-damage,0,0.976209,0.000721,0.000607,0.022463,0,0.976209,0.953746,0.118487
socal-fire_00001219:39c80497-c4ff-4b7e-87c9-895ad28ff2b9,39c80497-c4ff-4b7e-87c9-895ad28ff2b9,socal-fire_00001219,no-damage,0,0.923318,0.000700,0.020821,0.055160,0,0.923318,0.868158,0.319193
socal-fire_00001219:3e56fd39-ce0b-4781-874e-c6073a351d62,3e56fd39-ce0b-4781-874e-c6073a351d62,socal-fire_00001219,no-damage,0,0.977345,0.001773,0.000650,0.020232,0,0.977345,0.957112,0.117315
socal-fire_00001219:446336fd-730b-4371-9cf4-6c6b6ce663e3,446336fd-730b-4371-9cf4-6c6b6ce663e3,socal-fire_00001219,no-damage,0,0.952916,0.019465,0.000102,0.027517,0,0.952916,0.925399,0.222435
socal-fire_00001219:5c4b0505-2807-46d7-aecf-4d50344d40d0,5c4b0505-2807-46d7-aecf-4d50344d40d0,socal-fire_00001219,no-damage,0,0.933305,0.056824,0.001976,0.007895,0,0.933305,0.876481,0.277910
socal-fire_00001219:65d0c61c-0298-4de3-a81b-96b9bce6c93b,65d0c61c-0298-4de3-a81b-96b9bce6c93b,socal-fire_00001219,no-damage,0,0.920200,0.032027,0.002521,0.045252,0,0.920200,0.874948,0.341898
socal-fire_00001219:6996050c-91cf-493d-b783-26a4b0b6c5cd,6996050c-91cf-493d-b783-26a4b0b6c5cd,socal-fire_00001219,no-damage,0,0.751309,0.238932,0.000000,0.009759,0,0.751309,0.512378,0.602058
socal-fire_00001219:69e50038-db5e-409d-a669-7205ffb2f0f7,69e50038-db5e-409d-a669-7205ffb2f0f7,socal-fire_00001219,no-damage,0,0.702281,0.004074,0.004348,0.289298,0,0.702281,0.412983,0.653080
socal-fire_00001219:729f4454-53ba-4bd1-9ec2-c42474c9dca0,729f4454-53ba-4bd1-9ec2-c42474c9dca0,socal-fire_00001219,no-damage,0,0.426791,0.000242,0.000016,0.572952,3,0.572952,0.146161,0.684690
socal-fire_00001219:75e702d7-823d-4a5d-9dea-62403b54de7f,75e702d7-823d-4a5d-9dea-62403b54de7f,socal-fire_00001219,no-damage,0,0.423491,0.000515,0.113127,0.462867,3,0.462867,0.039376,0.970857
socal-fire_00001219:81a648fd-be3f-425b-b09d-bf7baf7343fd,81a648fd-be3f-425b-b09d-bf7baf7343fd,socal-fire_00001219,no-damage,0,0.948219,0.002869,0.002968,0.045945,0,0.948219,0.902274,0.226006
socal-fire_00001219:81abfd2b-e83f-48e2-8662-4cb48cc30fba,81abfd2b-e83f-48e2-8662-4cb48cc30fba,socal-fire_00001219,no-damage,0,0.965747,0.000012,0.000024,0.034217,0,0.965747,0.931530,0.149531
socal-fire_00001219:84f1c828-d6a3-48f9-898c-7d8c63500908,84f1c828-d6a3-48f9-898c-7d8c63500908,socal-fire_00001219,no-damage,0,0.923482,0.000832,0.002660,0.073026,0,0.923482,0.850456,0.286291
socal-fire_00001219:89786775-5ee3-4d96-98bb-a3d7e8133473,89786775-5ee3-4d96-98bb-a3d7e8133473,socal-fire_00001219,no-damage,0,0.847426,0.000018,0.000030,0.152526,0,0.847426,0.694900,0.427619
socal-fire_00001219:8b9a5074-86e8-4b37-902a-a4dd7a7dea78,8b9a5074-86e8-4b37-902a-a4dd7a7dea78,socal-fire_00001219,no-damage,0,0.616453,0.000540,0.220106,0.162901,0,0.616453,0.396347,0.931053
socal-fire_00001219:8f29de74-f77c-40c5-9f57-d6fc340faa5b,8f29de74-f77c-40c5-9f57-d6fc340faa5b,socal-fire_00001219,no-damage,0,0.038459,0.000000,0.000000,0.961541,3,0.961541,0.923081,0.163017
socal-fire_00001219:90396988-0451-46ad-bc65-4804c9fb0cc0,90396988-0451-46ad-bc65-4804c9fb0cc0,socal-fire_00001219,no-damage,0,0.540398,0.000404,0.000536,0.458662,0,0.540398,0.081736,0.697280
socal-fire_00001219:95707e17-f7a5-4579-bc06-3055ce50a0ea,95707e17-f7a5-4579-bc06-3055ce50a0ea,socal-fire_00001219,no-damage,0,0.713448,0.007242,0.191260,0.088050,0,0.713448,0.522187,0.806896
socal-fire_00001219:a27a6eaf-5a56-408b-b1e4-1ea8f9a86275,a27a6eaf-5a56-408b-b1e4-1ea8f9a86275,socal-fire_00001219,no-damage,0,0.520312,0.363277,0.093664,0.022747,0,0.520312,0.157035,1.015643
socal-fire_00001219:a7219b1b-4946-4861-8edc-b286acf659d4,a7219b1b-4946-4861-8edc-b286acf659d4,socal-fire_00001219,no-damage,0,0.968327,0.001937,0.005272,0.024464,0,0.968327,0.943863,0.161693
socal-fire_00001219:a8f23244-1d43-4478-87cb-05f2c853cbe0,a8f23244-1d43-4478-87cb-05f2c853cbe0,socal-fire_00001219,no-damage,0,0.862084,0.001874,0.007214,0.128828,0,0.862084,0.733256,0.439285
socal-fire_00001219:a942877e-9654-445f-9b49-13774a795533,a942877e-9654-445f-9b49-13774a795533,socal-fire_00001219,no-damage,0,0.951414,0.001022,0.000006,0.047558,0,0.951414,0.903856,0.199346
socal-fire_00001219:acb75ddd-27b5-4e62-aaca-2c26526fe071,acb75ddd-27b5-4e62-aaca-2c26526fe071,socal-fire_00001219,no-damage,0,0.196520,0.007575,0.044866,0.751038,3,0.751038,0.554518,0.711014
socal-fire_00001219:b0e2f009-fab2-44e6-81b0-f6e6e16e904f,b0e2f009-fab2-44e6-81b0-f6e6e16e904f,socal-fire_00001219,no-damage,0,0.974700,0.001813,0.000139,0.023348,0,0.974700,0.951352,0.125379
socal-fire_00001219:b94f8dab-c24f-4786-a411-6ecfee81fb2a,b94f8dab-c24f-4786-a411-6ecfee81fb2a,socal-fire_00001219,no-damage,0,0.695560,0.000143,0.000426,0.303871,0,0.695560,0.391690,0.619041
socal-fire_00001219:b9adb75c-b82a-4017-b21e-80bdd832a2e6,b9adb75c-b82a-4017-b21e-80bdd832a2e6,socal-fire_00001219,no-damage,0,0.111972,0.000110,0.000001,0.887917,3,0.887917,0.775944,0.351732
socal-fire_00001219:be9716c2-f4e2-4ccf-9d6d-b59972a5cc96,be9716c2-f4e2-4ccf-9d6d-b59972a5cc96,socal-fire_00001219,no-damage,0,0.924892,0.016401,0.000185,0.058523,0,0.924892,0.866369,0.307323
socal-fire_00001219:d004db31-1d26-4ea9-af81-b5f603671948,d004db31-1d26-4ea9-af81-b5f603671948,socal-fire_00001219,no-damage,0,0.521027,0.467268,0.000001,0.011704,0,0.521027,0.053759,0.747277
socal-fire_00001219:d1f6d8a3-0485-4894-8ed4-7d5ea2839f01,d1f6d8a3-0485-4894-8ed4-7d5ea2839f01,socal-fire_00001219,no-damage,0,0.903045,0.000015,0.000030,0.096910,0,0.903045,0.806135,0.318761
socal-fire_00001219:de12149f-2de2-43a5-99ed-dfd379471308,de12149f-2de2-43a5-99ed-dfd379471308,socal-fire_00001219,no-damage,0,0.995588,0.000088,0.000000,0.004324,0,0.995588,0.991265,0.028760
socal-fire_00001219:e6d4df10-4cd7-4bde-8724-507d425fb76f,e6d4df10-4cd7-4bde-8724-507d425fb76f,socal-fire_00001219,no-damage,0,0.142767,0.000412,0.015398,0.841422,3,0.841422,0.698656,0.490663
socal-fire_00001219:e906b20b-177a-48da-8450-857759c7ddf5,e906b20b-177a-48da-8450-857759c7ddf5,socal-fire_00001219,no-damage,0,0.958036,0.000462,0.000279,0.041223,0,0.958036,0.916812,0.178354
socal-fire_00001219:ebc837fb-ec0c-4632-a0c8-6a348928872b,ebc837fb-ec0c-4632-a0c8-6a348928872b,socal-fire_00001219,no-damage,0,0.126610,0.000322,0.155419,0.717649,3,0.717649,0.562230,0.791677
socal-fire_00001219:f7eaf8f7-f0e2-4921-9d79-31c467fb1ee6,f7eaf8f7-f0e2-4921-9d79-31c467fb1ee6,socal-fire_00001219,no-damage,0,0.907164,0.000665,0.000162,0.092009,0,0.907164,0.815155,0.314188
socal-fire_00001219:fa854968-9e90-434c-aed4-3011c7fb4e8a,fa854968-9e90-434c-aed4-3011c7fb4e8a,socal-fire_00001219,no-damage,0,0.786532,0.000036,0.000000,0.213433,0,0.786532,0.573099,0.518863
socal-fire_00001141:13faee36-600c-47fc-aeab-5a497193ce84,13faee36-600c-47fc-aeab-5a497193ce84,socal-fire_00001141,minor-damage,1,0.495135,0.452103,0.001382,0.051380,0,0.495135,0.043032,0.868564
socal-fire_00001141:44f77dd0-03a6-4984-a118-a2eabdfb8e28,44f77dd0-03a6-4984-a118-a2eabdfb8e28,socal-fire_00001141,destroyed,3,0.140189,0.001884,0.209690,0.648238,3,0.648238,0.438548,0.895828
socal-fire_00001141:47c1d046-21d4-4827-8bc3-c9429205847b,47c1d046-21d4-4827-8bc3-c9429205847b,socal-fire_00001141,major-damage,2,0.379170,0.570012,0.005528,0.045290,1,0.570012,0.190843,0.857003
socal-fire_00001141:adf39d64-90c5-4310-a94f-d42be12c143a,adf39d64-90c5-4310-a94f-d42be12c143a,socal-fire_00001141,destroyed,3,0.152966,0.000001,0.656197,0.190836,2,0.656197,0.465361,0.879751
socal-fire_00001141:e0bb7299-478a-4527-a222-b150cb5e5973,e0bb7299-478a-4527-a222-b150cb5e5973,socal-fire_00001141,no-damage,0,0.862141,0.000734,0.005780,0.131345,0,0.862141,0.730796,0.429593
socal-fire_00001031:15a34fdc-dc70-42f4-8582-601bba9dd5ee,15a34fdc-dc70-42f4-8582-601bba9dd5ee,socal-fire_00001031,no-damage,0,0.453913,0.000001,0.000002,0.546084,3,0.546084,0.092172,0.688937
socal-fire_00001031:5097c70f-53c2-4222-8adb-12dc51c64e30,5097c70f-53c2-4222-8adb-12dc51c64e30,socal-fire_00001031,no-damage,0,0.320977,0.000068,0.001466,0.677489,3,0.677489,0.356512,0.638762
socal-fire_00001031:5c100876-c690-46e8-abe9-705acad416a5,5c100876-c690-46e8-abe9-705acad416a5,socal-fire_00001031,no-damage,0,0.462456,0.000018,0.000001,0.537525,3,0.537525,0.075069,0.690539
socal-fire_00001031:775f9ff3-9c01-4f70-85a6-7fc0e7b5230d,775f9ff3-9c01-4f70-85a6-7fc0e7b5230d,socal-fire_00001031,no-damage,0,0.920730,0.000597,0.001972,0.076702,0,0.920730,0.844028,0.289713
socal-fire_00001031:821cbc32-9386-4322-ae28-312ec0f909da,821cbc32-9386-4322-ae28-312ec0f909da,socal-fire_00001031,no-damage,0,0.966880,0.000000,0.000002,0.033118,0,0.966880,0.933762,0.145448
socal-fire_00001031:a234daa6-0198-446a-9a4b-74ae0de1561b,a234daa6-0198-446a-9a4b-74ae0de1561b,socal-fire_00001031,no-damage,0,0.693920,0.000034,0.000002,0.306044,0,0.693920,0.387876,0.616294
socal-fire_00001031:b3edaf62-b0ee-4658-bb05-4bba261f44d5,b3edaf62-b0ee-4658-bb05-4bba261f44d5,socal-fire_00001031,no-damage,0,0.336382,0.003551,0.002187,0.657880,3,0.657880,0.321498,0.675393
socal-fire_00001031:d8d76d79-883c-424b-8bac-ba354361e16d,d8d76d79-883c-424b-8bac-ba354361e16d,socal-fire_00001031,no-damage,0,0.197718,0.000044,0.000181,0.802057,3,0.802057,0.604339,0.499402
socal-fire_00001018:236f9142-8f36-4986-b2f4-96c1704f8c0f,236f9142-8f36-4986-b2f4-96c1704f8c0f,socal-fire_00001018,no-damage,0,0.091414,0.004786,0.880789,0.023011,2,0.880789,0.789376,0.442857
socal-fire_00001018:3c8e94c0-0d80-43cf-b3cc-2bf3182f82b2,3c8e94c0-0d80-43cf-b3cc-2bf3182f82b2,socal-fire_00001018,no-damage,0,0.878605,0.002879,0.000374,0.118141,0,0.878605,0.760464,0.385840
socal-fire_00001018:76ef46e4-cc72-4dc6-b235-784fcad3e5f9,76ef46e4-cc72-4dc6-b235-784fcad3e5f9,socal-fire_00001018,no-damage,0,0.365709,0.007862,0.002008,0.624421,3,0.624421,0.258712,0.712502
socal-fire_00001018:86095144-9b04-4bd0-8cab-827cfa230b9e,86095144-9b04-4bd0-8cab-827cfa230b9e,socal-fire_00001018,no-damage,0,0.306544,0.001331,0.651786,0.040338,2,0.651786,0.345241,0.779766
socal-fire_00001018:8e20f877-9ea8-409c-839f-0e4f7c02f6b8,8e20f877-9ea8-409c-839f-0e4f7c02f6b8,socal-fire_00001018,no-damage,0,0.931827,0.012840,0.028613,0.026719,0,0.931827,0.903214,0.320190
socal-fire_00001018:9a3438ec-3b05-418b-a58b-c9b15f3a6abe,9a3438ec-3b05-418b-a58b-c9b15f3a6abe,socal-fire_00001018,no-damage,0,0.916481,0.037967,0.014805,0.030747,0,0.916481,0.878514,0.373552
socal-fire_00001018:a4a1d9c5-75c1-45c4-a004-e9b5c66f0473,a4a1d9c5-75c1-45c4-a004-e9b5c66f0473,socal-fire_00001018,no-damage,0,0.507743,0.006718,0.012348,0.473191,0,0.507743,0.034553,0.786077
socal-fire_00001018:ae3fb297-96b1-46f3-9e87-b1626bf74e1f,ae3fb297-96b1-46f3-9e87-b1626bf74e1f,socal-fire_00001018,no-damage,0,0.793145,0.000641,0.003030,0.203184,0,0.793145,0.589962,0.529898
socal-fire_00001018:b7ba090d-3f75-4a27-81bc-60ed8f0fe1a1,b7ba090d-3f75-4a27-81bc-60ed8f0fe1a1,socal-fire_00001018,no-damage,0,0.977927,0.001395,0.005823,0.014855,0,0.977927,0.963072,0.123493
socal-fire_00001018:b88c4c4d-ad50-4913-9741-983b6ee9054a,b88c4c4d-ad50-4913-9741-983b6ee9054a,socal-fire_00001018,no-damage,0,0.997545,0.000313,0.000047,0.002096,0,0.997545,0.995449,0.018368
socal-fire_00001018:ce61ea77-863c-4222-ac0b-62688dc8825b,ce61ea77-863c-4222-ac0b-62688dc8825b,socal-fire_00001018,no-damage,0,0.764726,0.231891,0.000698,0.002685,0,0.764726,0.532835,0.564998
socal-fire_00001018:dc9cc693-908d-4027-81c5-27ff2299fa52,dc9cc693-908d-4027-81c5-27ff2299fa52,socal-fire_00001018,no-damage,0,0.993660,0.003885,0.000001,0.002454,0,0.993660,0.989774,0.042645
socal-fire_00001006:09f27a7d-bcf9-4cc3-9f28-85575a303888,09f27a7d-bcf9-4cc3-9f28-85575a303888,socal-fire_00001006,no-damage,0,0.998333,0.000000,0.000000,0.001667,0,0.998333,0.996667,0.012328
socal-fire_00001006:13bba025-0df9-4851-aa39-24338f7a3bf4,13bba025-0df9-4851-aa39-24338f7a3bf4,socal-fire_00001006,no-damage,0,0.982832,0.008074,0.001093,0.008001,0,0.982832,0.974758,0.102014
